APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,APMC/Commodity,deseasonalise_price,seasonality_type
Akluj,Bitter Gourd,2015,August,100,2139,3128,3128,01-08-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",2970.848901,multiplicative
Akluj,Bitter Gourd,2016,August,175,1532,2500,2500,01-08-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",2662.843644,multiplicative
Akluj,Bitter Gourd,2014,December,61,2122,3467,2806,01-12-2014,Solapur,Maharashtra,"Akluj,Bitter Gourd",2781.887653,multiplicative
Akluj,Bitter Gourd,2015,December,80,1826,3221,3221,01-12-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",3311.076045,multiplicative
Akluj,Bitter Gourd,2015,February,35,2310,3350,2820,01-02-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",2795.004526,multiplicative
Akluj,Bitter Gourd,2016,February,69,1563,2763,2763,01-02-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",2362.475642,multiplicative
Akluj,Bitter Gourd,2015,January,60,2100,3395,2758,01-01-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",2669.980962,multiplicative
Akluj,Bitter Gourd,2016,January,68,1739,3261,3178,01-01-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",2683.366548,multiplicative
Akluj,Bitter Gourd,2015,July,65,2171,3357,3357,01-07-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",2717.032104,multiplicative
Akluj,Bitter Gourd,2016,July,136,3005,4943,4943,01-07-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",2731.667549,multiplicative
Akluj,Bitter Gourd,2015,June,71,2628,3472,3244,01-06-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",2734.93331,multiplicative
Akluj,Bitter Gourd,2016,June,77,3218,5441,5350,01-06-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",2780.291094,multiplicative
Akluj,Bitter Gourd,2015,March,55,2125,3100,2725,01-03-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",2895.923207,multiplicative
Akluj,Bitter Gourd,2016,March,60,1638,2863,2863,01-03-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",3056.671196,multiplicative
