APMC,Commodity,Year,min_price,max_price,absolute_fluctuation,relative_fluctuation
Ausa,SORGUM(JAWAR),2016,1581,1820,239,15.117014547754586
Kopargaon,WHEAT(HUSKED),2016,1756,1995,239,13.610478359908884
Washim-Ansing,PIGEON PEA (TUR),2016,5767,6000,233,4.040228888503555
Paithan,BAJRI,2016,1339,1571,232,17.32636295743092
Newasa,WHEAT(HUSKED),2016,1814,2045,231,12.734288864388093
Bhiwapur,PADDY-UNHUSKED,2016,1870,2101,231,12.352941176470589
Majalgaon,BAJRI,2016,1330,1560,230,17.293233082706767
Nampur,MAIZE,2016,1049,1279,230,21.9256434699714
Dhule,SORGUM(JAWAR),2016,1233,1463,230,18.653690186536902
Nandura,WHEAT(HUSKED),2016,1605,1835,230,14.330218068535826
Mantha,SORGUM(JAWAR),2016,1870,2100,230,12.29946524064171
Sangrampur-Varvatbakal,SORGUM(JAWAR),2016,1077,1307,230,21.355617455896006
Amarawati,PIGEON PEA (TUR),2016,5774,6003,229,3.966054728091444
Mehkar,WHEAT(HUSKED),2016,1736,1965,229,13.191244239631336
Dondaicha-Sindkheda,WHEAT(HUSKED),2016,1734,1962,228,13.14878892733564
Latur,SAFFLOWER,2016,2592,2819,227,8.757716049382717
Sailu,SORGUM(JAWAR),2016,2044,2270,226,11.056751467710372
Shrigonda,MAIZE,2016,1108,1333,225,20.306859205776174
Jalgaon Jamod-Aasalgaon,SORGUM(JAWAR),2016,1075,1300,225,20.930232558139537
Parbhani,SORGUM(JAWAR),2016,1696,1920,224,13.20754716981132
Shegaon,SORGUM(JAWAR),2016,1244,1466,222,17.84565916398714
Dhule,MAIZE,2016,1007,1228,221,21.94637537239325
Sakri,BAJRI,2016,1185,1406,221,18.649789029535864
Vaijapur,MAIZE,2016,987,1208,221,22.391084093211752
Kopargaon,MAIZE,2016,989,1209,220,22.24469160768453
Maregaon,COTTON,2016,4683,4903,220,4.6978432628656845
Sangali,BAJRI,2016,1590,1808,218,13.71069182389937
Amalner,MAIZE,2016,1059,1277,218,20.585457979225684
Lasalgaon-Vinchur,MAIZE,2016,1034,1250,216,20.889748549323016
Kalamb (Os),BAJRI,2016,1082,1298,216,19.963031423290204
Shirpur,MAIZE,2016,1014,1230,216,21.301775147928993
Satana,MAIZE,2016,1057,1270,213,20.151371807000945
Chopda,SORGUM(JAWAR),2016,1460,1673,213,14.58904109589041
Jafrabad,COTTON,2016,4744,4956,212,4.4688026981450255
Vaduj,SORGUM(JAWAR),2016,2256,2467,211,9.352836879432624
Mandhal,PADDY-UNHUSKED,2016,1650,1860,210,12.727272727272727
Mangalwedha,BAJRI,2016,1222,1432,210,17.18494271685761
Nagbhid,PADDY-UNHUSKED,2016,1726,1936,210,12.16685979142526
Majalgaon,COTTON,2016,4691,4900,209,4.45534001279045
Ahmedpur,SUNFLOWER,2016,2763,2972,209,7.564241766196163
Kurdwadi-Modnimb,BAJRI,2016,1393,1602,209,15.003589375448671
Devala,WHEAT(HUSKED),2016,1784,1993,209,11.715246636771301
Yeola,MAIZE,2016,1047,1255,208,19.866284622731616
Shrirampur,MAIZE,2016,943,1151,208,22.057264050901377
Bhokar,COTTON,2016,4755,4963,208,4.374342797055731
