APMC,Commodity,Year,min_price,max_price,absolute_fluctuation,relative_fluctuation
Pune,Coriander (Dry),2014,10750,17500,6750,62.7906976744186
Tasgaon,Bedana,2015,5713,12463,6750,118.15158410642394
Lasalgaon,POMEGRANATE,2016,250,7000,6750,2700.0
Pune-Manjri,Cluster Bean,2016,0,6750,6750,inf
Pimpalgaon Basawant,Pomegranate,2016,250,6982,6732,2692.8
Kolhapur,Math (Bhaji),2016,4846,11577,6731,138.89806025588115
Mumbai,Cummin,2015,17364,24091,6727,38.741073485372034
Sangli-Phale Bhajipalam,Orange,2016,3280,10000,6720,204.8780487804878
Mumbai,Chillies(Red),2016,12143,18857,6714,55.29111422218562
Pune,Coriander (Dry),2015,10000,16714,6714,67.14
Nagpur,Garlic,2016,4542,11250,6708,147.6882430647292
Kolhapur,Garlic,2015,4688,11375,6687,142.64078498293514
Amarawati,Garlic,2016,6071,12750,6679,110.01482457585242
Nashik,Apple,2016,9333,16000,6667,71.43469409621773
Pune,Coriander (Dry),2016,8111,14778,6667,82.1970163974849
Amarawati,Garlic,2016,5846,12500,6654,113.82141635306192
Kolhapur,Garlic,2016,3957,10609,6652,168.10715188273946
Mumbai,Turmeric,2014,8000,14644,6644,83.05
Amarawati-Fruit And Vegetables,Garlic,2016,6000,12643,6643,110.71666666666667
Mumbai,Chillies(Red),2015,8455,15091,6636,78.48610289769367
Atpadi,Pomegranate,2016,1917,8550,6633,346.0093896713615
Phaltan,Pomegranate,2016,1471,8103,6632,450.84976206662134
